input,output
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Drucker is provincial, but fairly intelligent. He earns a modest living, and he sleeps in the back room of the general store. In the Green Acres episode ``Milk Machine'', Mr. Haney and Fred Ziffel ask Drucker for five hundred dollars to invest in a milk making machine. When _he_tells them he doesn't have the money, Mr. Haney suggests getting a mortgage on the general store. <sep>, Pronoun: he
output: ",Drucker
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Other regional credits include Private Lives, Full Gallop (a one-woman show portraying the famous editor of vogue, Diana Vreeland), Holiday, The Seagull, the title roles in Agnes of God and Gypsy. In addition to performing, Larson produced the cabaret revue Serious Bizness (1983). One of _her_ proudest accomplishments was producing and appearing in Wicked & My So Called Life - a comedy revue written by Winnie Holzman and David Babcock, which ran successfully Off-Broadway for 8 months. <sep>, Pronoun: her
output: ",Larson
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Shortly after his appointment, Wells permitted Ontario schoolchildren to watch the final game of the 1972 ``Summit Series'' ice hockey tournament between Canada and the Soviet Union from their classrooms. He defeated Liberal challenger Gerry Phillips by 2,677 votes in the 1975 election, and was returned by a greater majority again in 1977. On August 16, 1978, Davis appointed Wells as _his_ Minister of Intergovernmental Affairs. <sep>, Pronoun: his
output: ",Davis
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: The second generation of Romantic poets includes Lord Byron (1788--1824), Percy Bysshe Shelley (1792--1822) and John Keats (1795--1821). Byron, however, was still influenced by 18th-century satirists and was, perhaps the least 'romantic' of the three, preferring ``the brilliant wit of Pope to what _he_called the 'wrong poetical system' of his Romantic contemporaries''. <sep>, Pronoun: he
output: ",Byron
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Suspending Disbelief was recorded in February and March 1993 at The Site and Skywalker Ranch in Marin County, California, Russian Hill Recording in San Francisco, and Johnny Yuma Recording in Los Angeles. The album was mixed at Record One in Los Angeles. In _his_ review for AllMusic, William Ruhlmann wrote that Suspending Belief contains Webb's ``most straightforward, plainspoken writing yet'' and that the songwriter ``seems better able to perform his music now than at any time in the past.'' <sep>, Pronoun: his
output: ",William Ruhlmann
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: J*zsef Balogh is a Hungarian clarinetist. Balogh was a student of Bela Kovacs at the Franz Liszt College of Music in Budapest. _He_is a solo clarinetist in the Budapest Opera and Budapest Radio Symphony Orchestra. <sep>, Pronoun: He
output: ",Balogh
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Five years later--again just a year after Lippmann's The Phantom Public appeared--Bernays published a second book on public relations, Propaganda. If Lippmann's prose was intended to sway the thinking of socially cognizant leaders and intellectuals, Bernays's writing style was meant for practitioners in the trenches; _his_ primary interest was to frame the job of public relations counsel in ways that would allow practitioners to take advantage of the insights of modern social and psychological thought. <sep>, Pronoun: his
output: ",Bernays
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: In the exposition, the love theme remains shielded from the violence of the first theme. In the recapitulation, the first theme strongly influences the love theme and ultimately destroys it. By following this pattern, Tchaikovsky shifts the true musical conflict from the development section to the recapitulation, where it climaxes in dramatic catastrophe. Thanks to Balakirev as well as _his_ own hard work, Romeo would bring Tchaikovsky his first national and international acclaim and become a work the kuchka lauded unconditionally. <sep>, Pronoun: his
output: ",Romeo
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Having been promoted to the rank of lieutenant colonel, Ludwig von Welden served with distinction as a staff officer in Italy in 1814, and, after the capture of Mantua, was given the task to repatriate the French army, which had capitulated there, to southern France. In 1815, Ludwig von Welden was an officer in the general staff in the army raised to confront Joachim Murat, the dethroned king of Naples. During this campaign, _he_was promoted to the rank of colonel and, in 1816, to that of brigadier of the Austrian engineer corps. <sep>, Pronoun: he
output: ",Ludwig von Welden
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Because of this (and because everyone thinks the name of the disease is sexy) an agreement is brokered between Grant-a-Dream and NBC in which Gumbel 2 Gumbel will be put back on the air if NBC can get the film rights to Chris's death. Peter is overjoyed with Gumbel 2 Gumbel back on the air, and Chris uses _his_ ``illness'' to his advantage in school. <sep>, Pronoun: his
output: ",Chris
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Seventy years later all of the Moffat's lands were passed to the Johnstones due to the Moffats having massive debts. During the Civil War, the Clan Johnstone supported the Royalist cause of King Charles. In 1633, King Charles I awarded lordship to the Johnstone chief, Sir James Johnston, as the Lord Johnstone; ten years later Charles made _him_ the Earl of Hartfell. <sep>, Pronoun: him
output: ",Johnstone
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: He then became a pupil of Darius Milhaud at Mills College. Hoiby became influenced by a variety of composers, particularly personalities in the twentieth century avant garde, including the Pro Arte String Quartet led by Rudolf Kolisch, brother-in-law of Arnold Schoenberg. During _his_ youth, Hoiby played with Harry Partch's Dadaist ensembles. <sep>, Pronoun: his
output: ",Hoiby
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: Appalled, Helmut digs into the scholar's life and travels to Austria and Italy to uncover evidence of Hopfgartner's hateful past. Meanwhile, Hopfgartner's colleague and rival, Regina Neumann, wants to reveal the truth about Hopfgartner's sexual liaisons with vulnerable students before the professor's imminent retirement. Neumann traps Sarah Goodman, an insecure graduate student trying to find _her_ place at Yale, into initiating formal charges of sexual harassment against Hopfgartner. <sep>, Pronoun: her
output: ",Sarah Goodman
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: It soon moved to Castle Hill, home of Lord and Lady Fortescue at Filleigh in North Devon until the end of the war, when in 1945 St Peters moved back to its old home in Seaford, now vacated by the Army, and resumed normal service. In 1956 Pat and Marjorie retired and Basil Talbot, an assistant Headmaster, a member of the team from the 1930s briefly took over but _he_retired through ill health. <sep>, Pronoun: he
output: ",Basil Talbot
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: When Janine tells Michael she wants to change Scarlett's last name to Butcher, he pins her up against the wall and puts his hands around her neck, so she has an injunction taken out, stopping him from seeing Scarlett. Michael manipulates Alice, who is Scarlett's nanny again, telling _her_ that he loves her, and they have sex again. <sep>, Pronoun: her
output: ",Alice
"Definition: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Positive example 1-
input: He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His
output: MacKenzie
Positive example 2-
input: The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under _his_ real name, Henry Rosenthal) including the hit The Devil and Daniel Johnston. <sep>, Pronoun: his
output: Henry Rosenthal
Now complete the following example-
input: It ran for 53 episodes from January 20, 1991 to January 26, 1992 on TV Asahi. It is part of the Metal Hero Series franchise; a sequel to Special Rescue Police Winspector, it is the second series to follow the Rescue Hero trilogy. After the Winspector police team leaves Japan to fight crime in France, Chief Shunsuke Masaki realizes _he_must create a new police team to defend Tokyo from crime. <sep>, Pronoun: he
output: ",Shunsuke Masaki
